0.021600, 0.008350, 0.010700, 0.006800, 0.015540, 0.001833, 0.045443, 0.014313, 0.004756, 0.005260, 
0.013150, 0.008225, 0.015567, 0.013312, 0.014830, 0.017908, 0.016229, 0.020306, 0.024250, 0.010710, 
0.015867, 0.010867, 0.017122, 0.017767, 0.022100, 0.011761, 0.004795, 0.026917, 0.017807, 0.014537, 
0.018425, 0.011388, 0.016842, 0.002000, 0.018790, 0.016171, 0.024439, 0.016672, 0.021989, 0.017073, 
0.015500, 0.008080, 0.019820, 0.017130, 0.028716, 0.013237, 0.013671, 0.009477, 0.013247, 0.021978, 
0.009017, 0.008725, 0.021061, 0.018533, 0.018450, 0.030819, 0.018336, 0.032752, 0.050561, 0.014297, 
0.010700, 0.016786, 0.015581, 0.021571, 0.009900, 0.019757, 0.013453, 0.031050, 0.022887, 0.019664, 
0.019000, 0.027675, 0.046988, 0.023409, 0.024137, 0.011877, 0.013909, 0.012639, 0.016718, 0.008139, 
0.012367, 0.008928, 0.012185, 0.021864, 0.027580, 0.016965, 0.014778, 0.018454, 0.017088, 0.005314, 
0.024950, 0.015670, 0.023477, 0.013158, 0.013858, 0.016138, 0.020521, 0.012481, 0.013186, 0.006401, 
